Hardware S/N,Dongle S/N,Software,Hardware Model,HA/HOT BACKUP,Protected Bitrate,Stream Gates,Invoice number,Invoice date,Partner name,Region,Customer Name,Region,Full Address,Support Plan,Starting Date,Valid Until,Software,Hardware, P.B ,SG, Hot backup ,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8693,425656434c400b03101753434f50555312101017,DVG,DVA202,YES,0,4,INV22012,44744,HVS_Heartland Video Systems,USA,WCSC-TV,USA,107 N.Franklin St,Gold,,,$875 ,"$1,353 ", -   ,$490 ," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8694,42555b4643430508060e53434f50555312101017,DVG,DVA202,YES,0,4,INV22012,44744,HVS_Heartland Video Systems,USA,WCSC-TV,USA,107 N.Franklin St,Gold,,,$875 ,"$1,353 ", -   ,$490 ," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8690,42545d424c450104040e53434f50555312101017,DVG,DVA202,YES,0,4,INV22012,44744,HVS_Heartland Video Systems,USA,WNEM-TV,USA,107 N.Franklin St,Gold,,,$875 ,"$2,050 ", -   ,$490 ," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8687,45505d4646450107051753434f50555312101017,DVG,DVA202,N/A,0,?,INV22008/INV21185,31/01/22-20/12/21,HVS_Heartland Video Systems,USA,Alchemedia SG LLC,USA,4279 Roswell Rd NESTE 208-267 30342-3705 GA  Atlanta,Gold,31 Jan 2022,31 Jan 2023,$875 ,"$2,050 ", -   ,?, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8688,4a5156404d410609061753434f50555312101017,DVG,DVA202,N/A,0,?,INV21185/INV22006,20/12/21-31/01/22,HVS_Heartland Video Systems,USA,Alchemedia SG LLC,USA,4280 Roswell Rd NESTE 208-267 30342-3705 GA  Atlanta,Gold,31 Jan 2022,31 Jan 2023,$875 ,"$2,050 ", -   ,?, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8689,425b564242450208070453434f50555312101017,DVG,DVA202,N/A,0,?,INV21185/INV22007,20/12/21-31/01/22,HVS_Heartland Video Systems,USA,Alchemedia SG LLC,USA,4281 Roswell Rd NESTE 208-267 30342-3705 GA  Atlanta,Gold,31 Jan 2022,31 Jan 2023,$875 ,"$2,050 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8691,45525d4841460304101753434f50555312101017,DVG,DVA202,N/A,0,6,INV21185/INV22003,20/12/21,HVS_Heartland Video Systems,USA,,,,Gold,1 Sep 2022,1 Sep 2023,$875 ,"$2,050 ", -   ,$490 , ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8538,42525941444a0506091753434f50555312101017,DVG,DVA2000,N/A,0,6,INV21182,12 08 2021,PCCW Global (HK) ,HK,X,X,X,Silver,12 Aug 2021,12 Aug 2022,?,"$6,266 ", -   ,?, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8539,4a51584541470700051753434f50555312101017,DVG,DVA2000,N/A,0,6,INV21182,12 08 2021,PCCW Global (HK) ,HK,X,X,X,Silver,12 Aug 2021,12 Aug 2022,?,"$6,266 ", -   ,?, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8070,46545a4834210173080f452127333c3c12101017,DVG,DVA2000,N/A,0,4,INV22021/VF20107,17/02/22-30/09 20,HVS_Heartland Video Systems,USA,WCBD,USA,210 West Coleman BlvdMt Pleasant,Gold,17 Feb 2022,17 Feb 2024,$750 ,"$1,525 ", -   ,$490 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8071,2020364045430200000743535f40464312101017 - new  4456678,DVG,DVA2000,YES,0,4,INV22021/VF20124,17/02/22-14/11/20,HVS_Heartland Video Systems,USA,WCBD,USA,210 West Coleman BlvdMt Pleasant,Gold,17 Feb 2022,17 Feb 2024,$688 ,"$1,525 ", -   ,$490 ," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8049 changed,comments,DVG,DVA200,N/A,0,4,INV22021/VF20140,17/02/22-23/12/20,HVS_Heartland Video Systems,USA,WCBD,USA,210 West Coleman BlvdMt Pleasant,Gold,17 Feb 2022,17 Feb 2024,"$1,350 ",, -   ,$490 , -   ,Old Dongle 46543f403c32707d080f235b2d20383512101017  To KTLA New: 2020364045430200000743535f40464a12101017 to WCBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8050 changed,comments,DVG,DVA200,YES,0,4,INV22021/VF20140,17/02/22-23/12/20,HVS_Heartland Video Systems,USA,WCBD,USA,210 West Coleman BlvdMt Pleasant,Gold,17 Feb 2022,17 Feb 2024,,, -   ,$490 ," 2,258.00 ",Old Dongle 46545d213c4471097c0237315822443912101017 To KTLA New 2020364045430200000743535f404c4a12101017 to WCBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8624,,DVG,DVA100,N/A,0,?,VF20107-INV21111,30/09/20-22/08/21,HVS_Heartland Video Systems,USA,KTVI-TV FOX2,USA,2250 Ball Drive,Gold,22 Aug 2021,22 Sep 2022,$650 ,$550 , -   ,?, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8625,,DVG,DVA100,N/A,0,?,VF20107-INV21111,30/09/20-22/08/21,HVS_Heartland Video Systems,USA,KTVI-TV FOX2,USA,2250 Ball Drive,Gold,22 Aug 2021,22 Sep 2022,$650 ,$550 , -   ,?, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8626,,DVG,DVA100,N/A,0,?,VF20107-INV21111,30/09/20-22/08/21,HVS_Heartland Video Systems,USA,KTVI-TV FOX2,USA,2250 Ball Drive,Gold,22 Aug 2021,22 Sep 2022,$650 ,$550 , -   ,?, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8627,46545639263c7069787423202b29374a12101017,DVG,DVA100,N/A,0,3,VF20107-INV21122,30/09/20-5/9/2021,HVS_Heartland Video Systems,USA,KFSN,USA,1777 G Street 93706 CA  Fresno,Gold,9 May 2021,10 May 2022,$650 ,$550 , -   ,$490 , x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8628,46545f37304a7773027936272e21463412101017,DVG,DVA100,?,0,3,VF20107-INV21122,30/09/20-5/9/2021,HVS_Heartland Video Systems,USA,KFSN,USA,1777 G Street 93706 CA  Fresno,Gold,9 May 2021,10 May 2022,$650 ,$550 , -   ,$490 , x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8629,2020364045430200000743535f40424a12101017,DVG,DVA100,YES,0,,VF20107-INV21122,30/09/20-5/9/2021,HVS_Heartland Video Systems,USA,KFSN,USA,1777 G Street 93706 CA  Fresno,Gold,9 May 2021,10 May 2022,$650 ,$550 , -   ,$490 ," 2,257.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8630,,DVG,DVA202,N/A,0,10,VF20107-VF20145,30/09/20-30/12/20,HVS_Heartland Video Systems,USA,Nextstar,USA,,Platinum,1 Sep 2022,1 Sep 2023,$883 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8631,,DVG,DVA202,YES,0,10,VF20107-VF20145,30/09/20-30/12/20,HVS_Heartland Video Systems,USA,Nextstar,USA,,Platinum,1 Sep 2022,1 Sep 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8632,,DVG,DVA202,YES,0,10,VF20107-VF20145,30/09/20-30/12/20,HVS_Heartland Video Systems,USA,Nextstar,USA,,Platinum,1 Sep 2022,1 Sep 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8633,,DVG,DVA202,,0,4,VF20107_INV21161_VF20136_INV22138,30/09/20_03/11/21_7/12/20_19/10/22,HVS_Heartland Video Systems,USA,KING,USA,1501 First Ave SouthSuite 300,Gold,20 Nov 2022,19 Nov 2023,"$1,523 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8634,,DVG,DVA202,,0,3,VF20107_INV21133_VF20137_INV22128,30/09/20_29/09/21_21/09/22,HVS_Heartland Video Systems,USA,KCPQ/KZJO,USA,1813 Westlake Ave N53073 Plymouth WI98109-2706 DC  Seattle,Gold,19 Nov 2021,11/18/22,$650 ,, -   ,$525.00,,not clear which is the price. VF20137 price 1523 everything. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8635,465426383332760860603620353a323e12101017,DVG,DVA202,N/A,0,20,VF20107-INV21034,30/09/20-30/03/21,HVS_Heartland Video Systems,USA,KHON-TV,USA,88 Piikoi Street 96814 HI  Honolulu,VIP,30 Mar 2021,30 Mar 2022,$650 ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8636,2020364045430200000743535f40444212101017,DVG,DVA202,YES,0,10,VF20107-INV21034,30/09/20,HVS_Heartland Video Systems,USA,KHON-TV,USA,88 Piikoi Street 96814 HI  Honolulu,VIP,30 Mar 2021,30 Mar 2022,$650 ,, -   ,$0.00, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8637,,DVG,DVA202,N/A,0,10,INV21034-VF20124,30/03/21-12/11/20,HVS_Heartland Video Systems,USA,KHON-TV,USA,88 Piikoi Street 96814 HI  Honolulu,VIP,30 Mar 2021,30 Mar 2022,$625 ,"$1,025 ", -   ,?, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8638,,DVG,DVA202,YES,,,INV21034-VF20124,30/03/21-12/11/20,HVS_Heartland Video Systems,USA,KHON-TV,USA,88 Piikoi Street 96814 HI  Honolulu,VIP,30 Mar 2021,30 Mar 2022,$625 ,"$1,025 ", -   ,?, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8639,,DVG,DVA202,N/A,,10,INV21034-VF20124,30/03/21-12/11/20,HVS_Heartland Video Systems,USA,KHON-TV,USA,88 Piikoi Street 96814 HI  Honolulu,VIP,30 Mar 2021,30 Mar 2022,$625 ,"$1,025 ", -   ,?, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8654,2020364045430200000743535f40454712101017,DVG,DVA202,YES,0,0,INV21034-VF20124,30/03/21-12/11/20,,,,,,,,,$625 ,"$1,025 ", -   ,?, ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8622,,DVG,DVA202,YES,0,10,VF20107-VF20145,30/09/20-30/12/20,HVS_Heartland Video Systems,USA,Nextstar,USA,,Platinum,1 Sep 2022,1 Sep 2023,883.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8526,,DVG,DVA2000,N/A,0,?,VF20107,30/09/20,HVS_Heartland Video Systems,USA,,,,,,,$650 ,"$1,525 ", -   ,?, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8527,,DVG,DVA2000,N/A,0,?,VF20107,30/09/20,HVS_Heartland Video Systems,USA,,,,,,,$650 ,"$1,525 ", -   ,?, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8020,,DVG,DVA202,N/A,0,8,INV21126/VF20140,12/9/2021-23/12/20,HVS_Heartland Video Systems,USA,WTNH-TV,USA,8 Elm Street 06510 CT  New Haven,Platinum,10 Sep 2021,11 Sep 2022,"$1,650 ",, -   ,$490 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8021,,DVG,DVA202,N/A,0,21,INV21093/VF20140,14/07/21-23/12/20,HVS_Heartland Video Systems,USA,KTVI-TV FOX2,USA,2250 Ball Drive 63146 MO  St' Louis,Platinum,29 Jun 2021,29 Jun 2022,"$1,650 ",, -   ,$284 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8022,,DVG,DVA202,YES,0,0,INV21093/VF20140,14/07/21-23/12/20,HVS_Heartland Video Systems,USA,KTVI-TV FOX2,USA,2250 Ball Drive 63146 MO  St' Louis,Platinum,29 Jun 2021,29 Jun 2022,"$1,650 ",, -   ,$0 ," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8023,,DVG,DVA202,N/A,0,4,VF20140_INV21078_INV22116,23/12/20_07/06/21_08/09/22,HVS_Heartland Video Systems,USA,WETA-TV,USA,3939 Campbell Ave 22206 VA  Arlington,Gold,7 Jun 2022,6 Jul 2023,"$1,650 ",, -   ,$420.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8024,,DVG,DVA202,N/A,0,4,VF20140_INV21078_INV22116,23/12/20_07/06/21_08/09/22,HVS_Heartland Video Systems,USA,WETA-TV,USA,3939 Campbell Ave 22206 VA  Arlington,Gold,7 Jun 2022,6 Jul 2023,"$1,650 ",, -   ,$420.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8025,,DVG,DVA202,N/A,0,10,VF20140/INV21074_INV22070,23/12/20-02/06/21_16/6/22,HVS_Heartland Video Systems,USA,Maine PTV,USA,63 Texas Ave 04401 ME  Bangor,Gold,3 Jul 2022,2 Jul 2023,"$1,650 ",, -   ,$350.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8026,,DVG,DVA202,YES,0,0,VF20140/INV21074_INV22070,23/12/20-02/06/21_16/6/22,HVS_Heartland Video Systems,USA,Maine PTV,USA,63 Texas Ave 04401 ME  Bangor,Gold,3 Jul 2022,2 Jul 2023,"$1,650 ",, -   ,$0.00," 1,613.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8027,,DVG,DVA202,N/A,0,6,VF20140/INV21074_INV22071,23/12/20-02/06/21_16/06/22,HVS_Heartland Video Systems,USA,Maine PTV,USA,63 Texas Ave 04401 ME  Bangor,Gold,3 Jul 2022,2 Jul 2023,"$1,650 ",, -   ,$385.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8028,,DVG,DVA202,N/A,0,6,VF20140/INV21074_INV22072,23/12/20-02/06/21_16/6/22,HVS_Heartland Video Systems,USA,Maine PTV,USA,63 Texas Ave 04401 ME  Bangor,Gold,3 Jul 2002,2 Jul 2023,"$1,650 ",, -   ,$385.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8029,,DVG,DVA202,N/A,0,5,VF20140/ INV21070,23/12/20-31/05/21,HVS_Heartland Video Systems,USA,KSCI,USA,1990 S Bundy Dr Suite 175 90025 CA  Los Angeles,Gold,31 May 2021,31 May 2022,"$1,650 ",, -   ,$420.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8030,,DVG,DVA202,YES,0,0,VF20140/ INV21070,23/12/20-31/05/21,HVS_Heartland Video Systems,USA,KSCI,USA,1990 S Bundy Dr Suite 175 90025 CA  Los Angeles,Gold,31 May 2021,31 May 2022,"$1,650 ",, -   ,$0.00," 1,613.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8031,,DVG,DVA202,N/A,0,4,VF20140/ INV21070,23/12/20-31/05/21,HVS_Heartland Video Systems,USA,KSCI,USA,1990 S Bundy Dr Suite 175 90025 CA  Los Angeles,Gold,31 May 2021,31 May 2022,"$1,650 ",, -   ,$420.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8032,,DVG,DVA202,YES,0,,VF20140/ INV21070,23/12/20-31/05/21,HVS_Heartland Video Systems,USA,KSCI,USA,1990 S Bundy Dr Suite 175 90025 CA  Los Angeles,Gold,31 May 2021,31 May 2022,"$1,650 ",, -   ,$0.00," 1,613.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8033,,DVG,DVA202,,0,11,VF20140,23/12/20,HVS_Heartland Video Systems,USA,KTLA,USA,,,,,"$1,650 ",, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8034,,DVG,DVA202,,0,0,VF20140,23/12/20,HVS_Heartland Video Systems,USA,KTLA,USA,,,,,"$1,650 ",, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8035,,DVG,DVA202,N/A,0,16,VF20140/INV21032/INV22009,23/12/20-29/03/21-31/01/22,HVS_Heartland Video Systems,USA,,,,Gold,31 Jan 2022,31 Jan 2023,"$1,650 ",, -   ,$298.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8036,,DVG,DVA202,YES,0,0,VF20140/INV21032/INV22009,23/12/20-29/03/21-31/01/22,HVS_Heartland Video Systems,USA,,,,Gold,31 Jan 2022,31 Jan 2023,"$1,650 ",, -   ,$0.00," 1,613.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
